beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Alice 'The Dog' Eats Melanoidin,La Calavera,IPA - American,American IPA,7.6,75,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-03-15 20:23:36,Spain,17500 Ripoll,Gerona,74,27
Vinification - White Grape Wheat,Magic Rock Brewing,Pale Wheat Ale - American,Pale Wheat Ale - American,6.1,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.0,2017-03-15 20:25:37,England,"Huddersfield, West Yorkshire",HD1 5EB,74,27
Viento Sur,La Grúa,Pilsner - Other,Pilsner,4.8,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-03-15 21:37:11,Spain,Pontejos,Cantabria,74,27
Lupuloid,Beavertown,IPA - American,American IPA,6.7,65,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-03-15 21:40:26,England,Tottenham Hale,London,74,27
Turia Märzen,Grupo Damm,Märzen,Märzen,5.4,0,Tienda Oficial Valencia C.F. - Megastore,Valencia,Comunidad Valenciana,España,39.4691,-0.376608,1.5,2017-03-19 17:01:06,Spain,Barcelona,Cataluña,74,27
India Pale Ale Citra Ekuanot,The Kernel Brewery,IPA - American,American IPA,7.3,0,Irreale,Madrid,Madrid,España,40.4288,-3.70456,3.75,2017-03-23 22:14:37,England,London,London,75,27
Ayinger Maibock,Ayinger Privatbrauerei,Maibock / Heller (Helles) Bock,Maibock / Heller (Helles) Bock,6.9,30,Irreale,Madrid,Madrid,España,40.4288,-3.70456,3.0,2017-03-23 22:18:57,Germany,Aying,Aying,75,27
Shock Series: !!PA Citra & Galaxy,To Øl,IPA - Imperial / Double,Imperial IPA,9.0,0,Irreale,Madrid,Madrid,España,40.4288,-3.70456,3.25,2017-03-23 22:19:47,Denmark,København N,Region Hovedstaden,75,27
Fat & Fruity,Dry & Bitter Brewing Company,IPA - American,American IPA,6.5,0,Irreale,Madrid,Madrid,España,40.4288,-3.70456,3.25,2017-03-23 23:59:21,Denmark,Gørløse,Region Hovedstaden,75,27
Stonewell Medium Dry Irish Craft Cider,Nohoval Drinks Company Ltd,Cider,Cider,5.5,0,Irreale,Madrid,Madrid,España,40.4288,-3.70456,3.5,2017-03-24 00:00:18,Ireland,Nohoval,Co. Cork,75,27
Shock Series: !PA Equinox,To Øl,IPA - American,American IPA,7.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.0,2017-03-28 23:08:20,Denmark,København N,Region Hovedstaden,76,27
Mosaic IPA,Amager Bryghus,IPA - American,American IPA,7.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,2.75,2017-03-28 23:10:01,Denmark,Kastrup,Kastrup,76,27
Köstritzer Kellerbier,Köstritzer Schwarzbierbrauerei,Kellerbier / Zwickelbier,Kellerbier / Zwickelbier,5.4,0,Parque de las Siete Tetas,Madrid,Madrid,España,40.3978,-3.6554300000000004,3.0,2017-04-04 19:56:31,Germany,Bad Köstritz,Thüringen,77,28
La Chouffe,Brasserie d'Achouffe,Belgian Strong Golden Ale,Belgian Strong Golden Ale,8.0,20,Parque de las Siete Tetas,Madrid,Madrid,España,40.3978,-3.6554300000000004,4.25,2017-04-04 20:51:13,Belgium,Achouffe,Luxembourg,77,28
Surt Til Hibiscus & Cranberry,To Øl,Sour - Ale,Sour,5.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.25,2017-04-06 23:58:30,Denmark,København N,Region Hovedstaden,77,28
Goma 2,Caleya,IPA - American,American IPA,6.3,42,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-04-07 00:53:56,Spain,33993 Rioseco,Asturias,77,28
1906 Reserva Especial,Hijos de Rivera,Lager - Vienna,Lager - Vienna,6.5,19,Plaza del Dos de Mayo,Madrid,Madrid,España,40.4269,-3.7040900000000003,2.0,2017-04-07 22:14:31,Spain,La Coruña,La Coruña,77,28
Revontulet,Nómada Brewing Co.,Sour - Ale,Sour,6.7,26,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-04-18 21:57:39,Spain,08201 Sabadell,Barcelona,79,28
Caribbean Rumstout,Hornbeer,Stout - American Imperial / Double,Stout,10.0,86,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.0,2017-04-18 21:58:28,Denmark,Kirke Hyllinge,Sjælland,79,28
Happy Otter,DouGall's,Pale Ale - American,Pale Ale,5.6,40,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-04-18 21:58:55,Spain,39722 Liérganes,Cantabria,79,28
Oakwood Cider,Sheppy's Cider Ltd,Cider,Cider,4.8,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-04-19 22:42:12,England,Bradford-on-Tone,Taunton,79,28
Mahou Maestra,Grupo Mahou-San Miguel,Lager - Euro Strong,Lager - Euro Strong,7.5,0,Metro Argüelles,Madrid,Madrid,España,40.4304,-3.71593,2.0,2017-04-23 22:26:24,Spain,28045 Madrid,Madrid,79,28
Keler Lager,Grupo Damm,Lager - Pale,Lager - Pale,4.6,0,Bodegón Gorbea,Vitoria,País Vasco,España,42.8475,-2.67442,3.0,2017-04-29 20:28:01,Spain,Barcelona,Cataluña,80,28
TopHop,Hornbeer,IPA - Session / India Session Ale,American IPA,4.7,41,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-05-02 20:11:59,Denmark,Kirke Hyllinge,Sjælland,81,29
